月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppm),一小時值超過35ppm之時數(時),一小時值超過35ppm之時數(%),連續8小時之平均值超過9ppm次數(次),日平均值超過10ppm日數(日),日平均值超過10ppm日數(%),一小時值之最高值(ppm),一小時值之最高值(發生日),一小時值之最高值(發生時),連續8小時平均值之最高值(ppm)
104年11月,二氧化硫,中正站,2533616A0015,30,665,3.29,0,0,0,0,20.3,8,16,6.51,8
104年11月,二氧化硫,大直站,2533916A0007,28,648,3.88,0,0,0,0,26.1,19,14,8.1,19
104年11月,二氧化硫,信義站,2534516A0004,30,663,1.73,0,0,0,0,15,8,14,4.87,8
104年11月,二氧化硫,南港站,2534116A0005,26,625,2.09,0,0,0,0,16.89,28,13,4.33,18
104年11月,二氧化硫,內湖站,2534216A0011,26,640,2.35,0,0,0,0,22.3,5,8,5.29,5
104年11月,二氧化硫,木柵站,2534016A0012,22,541,3,0,0,0,0,17.8,7,16,5.32,7
104年11月,二氧化硫,承德站,2534316T0025,26,631,4.06,0,0,0,0,18,28,8,9,20
104年11月,二氧化硫,中北站,2533916T0022,30,682,2.97,0,0,0,0,22,8,17,6.13,8
104年12月,二氧化硫,中正站,2533616A0015,29,665,3.49,0,0,0,0,19.7,23,15,8.63,21
104年12月,二氧化硫,大直站,2533916A0007,31,702,3.8,0,0,0,0,26.1,13,21,7.52,13
104年12月,二氧化硫,信義站,2534516A0004,31,701,2.54,0,0,0,0,27,23,14,5.76,21
104年12月,二氧化硫,南港站,2534116A0005,25,615,2.65,0,0,0,0,28.9,23,14,6.5,23
104年12月,二氧化硫,內湖站,2534216A0011,28,646,2.49,0,0,0,0,7.2,21,2,5.25,16
104年12月,二氧化硫,木柵站,2534016A0012,31,707,3.9,0,0,0,0,21.8,23,15,8.47,16
104年12月,二氧化硫,承德站,2534316T0025,29,673,4.02,0,0,0,0,26.6,23,20,8.94,13
104年12月,二氧化硫,中北站,2533916T0022,31,719,3.2,0,0,0,0,21.8,23,15,7.04,21
105年1月,二氧化硫,中正站,2533616A0015,31,648,3.24,0,0,0,0,13.4,10,14,5.7,28
105年1月,二氧化硫,大直站,2533916A0007,31,655,3.23,0,0,0,0,11.7,2,3,5.33,1
105年1月,二氧化硫,信義站,2534516A0004,31,661,2.61,0,0,0,0,15.5,10,16,4.63,10
105年1月,二氧化硫,南港站,2534116A0005,28,623,2.08,0,0,0,0,21.2,10,14,5.43,5
105年1月,二氧化硫,內湖站,2534216A0011,31,661,2.71,0,0,0,0,12.6,28,12,8.36,28
105年1月,二氧化硫,木柵站,2534016A0012,31,662,2.63,0,0,0,0,10.6,5,22,3.83,5
105年1月,二氧化硫,承德站,2534316T0025,30,640,4.29,0,0,0,0,13.2,1,19,7.04,27
105年1月,二氧化硫,中北站,2533916T0022,31,662,2.88,0,0,0,0,12.9,3,17,5.15,28
105年2月,二氧化硫,中正站,2533616A0015,29,660,2.78,0,0,0,0,8.3,6,13,5.3,6
105年2月,二氧化硫,大直站,2533916A0007,29,667,1.91,0,0,0,0,11.9,16,19,5.24,6
105年2月,二氧化硫,信義站,2534516A0004,29,661,2.22,0,0,0,0,6.4,6,13,4.25,6
105年2月,二氧化硫,南港站,2534116A0005,27,633,1.57,0,0,0,0,8.8,12,17,3.93,6
105年2月,二氧化硫,內湖站,2534216A0011,28,648,2.53,0,0,0,0,6.2,13,6,3.86,13
105年2月,二氧化硫,木柵站,2534016A0012,24,566,2.28,0,0,0,0,7.9,8,14,4.22,6
105年2月,二氧化硫,承德站,2534316T0025,29,664,3.83,0,0,0,0,27.6,16,19,8.35,16
105年2月,二氧化硫,中北站,2533916T0022,29,671,2.53,0,0,0,0,21,15,11,4.63,15
105年3月,二氧化硫,中正站,2533616A0015,30,681,2.62,0,0,0,0,10.2,27,18,4.09,7
105年3月,二氧化硫,大直站,2533916A0007,28,670,1.83,0,0,0,0,8,4,17,2.97,5
105年3月,二氧化硫,信義站,2534516A0004,31,709,2.34,0,0,0,0,8.1,3,18,3.85,30
105年3月,二氧化硫,南港站,2534116A0005,30,679,2.09,0,0,0,0,12.4,30,13,4.75,30
105年3月,二氧化硫,內湖站,2534216A0011,29,674,2.74,0,0,0,0,10,19,3,5.94,5
105年3月,二氧化硫,木柵站,2534016A0012,29,675,2.25,0,0,0,0,14.9,30,16,5.27,30
105年3月,二氧化硫,承德站,2534316T0025,26,638,3.31,0,0,0,0,10.2,17,18,5.61,30
105年3月,二氧化硫,中北站,2533916T0022,31,714,2.69,0,0,0,0,8.1,29,19,3.88,30
105年4月,二氧化硫,中正站,2533616A0015,30,644,2.3,0,0,0,0,9,1,2,4.2,1
105年4月,二氧化硫,大直站,2533916A0007,30,673,2.35,0,0,0,0,10.5,8,23,4.7,29
105年4月,二氧化硫,信義站,2534516A0004,28,566,2.46,0,0,0,0,8.8,21,17,3.82,9
105年4月,二氧化硫,南港站,2534116A0005,26,516,2.33,0,0,0,0,9.5,4,16,4.75,29
105年4月,二氧化硫,內湖站,2534216A0011,30,679,3.42,0,0,0,0,10.2,7,17,6.57,22
105年4月,二氧化硫,木柵站,2534016A0012,30,680,2.52,0,0,0,0,11,6,14,4.5,8
105年4月,二氧化硫,承德站,2534316T0025,30,687,4.05,0,0,0,0,22.1,26,7,6.77,26
105年4月,二氧化硫,中北站,2533916T0022,29,625,3.15,0,0,0,0,13.1,22,15,5.03,1
105年5月,二氧化硫,中正站,2533616A0015,30,703,2.1,0,0,0,0,22.4,26,17,4.5,26
105年5月,二氧化硫,大直站,2533916A0007,26,651,2.5,0,0,0,0,17.2,24,20,5.9,24
105年5月,二氧化硫,信義站,2534516A0004,30,677,2.4,0,0,0,0,14.6,27,12,4.63,7
105年5月,二氧化硫,南港站,2534116A0005,23,612,2.74,0,0,0,0,28.5,6,15,6.46,7
105年5月,二氧化硫,內湖站,2534216A0011,28,646,2.05,0,0,0,0,10.7,2,19,3.86,2
105年5月,二氧化硫,木柵站,2534016A0012,31,708,2.5,0,0,0,0,21.1,6,15,4.9,20
105年5月,二氧化硫,承德站,2534316T0025,28,663,3.8,0,0,0,0,25,26,19,7.56,7
105年5月,二氧化硫,中北站,2533916T0022,29,692,2.86,0,0,0,0,20.4,23,15,5.15,24
105年6月,二氧化硫,中正站,2533616A0015,30,662,1.66,0,0,0,0,14.7,22,18,3.21,19
105年6月,二氧化硫,大直站,2533916A0007,30,679,2.03,0,0,0,0,13.7,23,19,4.41,23
105年6月,二氧化硫,信義站,2534516A0004,30,676,1.44,0,0,0,0,10.5,26,12,3.14,26
105年6月,二氧化硫,南港站,2534116A0005,30,623,3.41,0,0,0,0,13.5,23,17,5.55,10
105年6月,二氧化硫,內湖站,2534216A0011,30,670,2.43,0,0,0,0,12.4,10,11,4.04,14
105年6月,二氧化硫,木柵站,2534016A0012,30,677,2.45,0,0,0,0,17.8,17,12,3.4,27
105年6月,二氧化硫,承德站,2534316T0025,30,646,2.97,0,0,0,0,12.8,8,14,6.39,2
105年6月,二氧化硫,中北站,2533916T0022,29,628,2.35,0,0,0,0,12.8,30,16,3.61,30
105年7月,二氧化硫,中正站,2533616A0015,31,655,2.03,0,0,0,0,19.4,14,15,4.43,24
105年7月,二氧化硫,大直站,2533916A0007,31,705,2.23,0,0,0,0,13,30,16,4.84,7
105年7月,二氧化硫,信義站,2534516A0004,31,703,1.68,0,0,0,0,13.9,25,15,4.06,23
105年7月,二氧化硫,南港站,2534116A0005,31,679,3.31,0,0,0,0,19.6,24,19,7.12,24
105年7月,二氧化硫,內湖站,2534216A0011,31,689,2.89,0,0,0,0,14.3,27,8,5.57,29
105年7月,二氧化硫,木柵站,2534016A0012,31,695,2.47,0,0,0,0,16.4,28,17,4.66,28
105年7月,二氧化硫,承德站,2534316T0025,31,697,3.86,0,0,0,0,12.8,7,14,7.64,29
105年7月,二氧化硫,中北站,2533916T0022,31,656,2.79,0,0,0,0,14.2,28,17,5.38,29
105年8月,二氧化硫,中正站,2533616A0015,31,704,2.09,0,0,0,0,22,1,0,4.8,22
105年8月,二氧化硫,大直站,2533916A0007,31,708,2,0,0,0,0,19.7,22,0,4.07,17
105年8月,二氧化硫,信義站,2534516A0004,31,676,1.61,0,0,0,0,18.9,17,0,3.69,22
105年8月,二氧化硫,南港站,2534116A0005,31,679,2.14,0,0,0,0,27.4,22,0,5.99,17
105年8月,二氧化硫,內湖站,2534216A0011,31,685,2.46,0,0,0,0,20.2,17,0,5.87,17
105年8月,二氧化硫,木柵站,2534016A0012,31,689,2.63,0,0,0,0,28.6,17,0,6.14,31
105年8月,二氧化硫,承德站,2534316T0025,31,699,3.83,0,0,0,0,18,31,0,6.58,17
105年8月,二氧化硫,中北站,2533916T0022,31,638,2.09,0,0,0,0,29.6,17,0,4.61,22
105年9月,二氧化硫,中正站,2533616A0015,30,613,1.81,0,0,0,0,19.5,1,0,3.95,1
105年9月,二氧化硫,大直站,2533916A0007,30,680,2.08,0,0,0,0,16.2,1,0,4.75,5
105年9月,二氧化硫,信義站,2534516A0004,30,676,1.35,0,0,0,0,21.1,5,0,3.45,1
105年9月,二氧化硫,南港站,2534116A0005,30,659,1.59,0,0,0,0,20.8,1,0,4.18,1
105年9月,二氧化硫,內湖站,2534216A0011,30,679,3.42,0,0,0,0,13.7,1,0,5.46,9
105年9月,二氧化硫,木柵站,2534016A0012,27,543,1.85,0,0,0,0,36.8,9,0,5.62,1
105年9月,二氧化硫,承德站,2534316T0025,30,665,1.8,0,0,0,0,15.5,1,0,5.17,5
105年9月,二氧化硫,中北站,2533916T0022,30,629,1.3,0,0,0,0,13.4,5,0,3.46,2
105年10月,二氧化硫,中正站,2533616A0015,31,700,1.76,0,0,0,0,13.8,22,18,3.61,26
105年10月,二氧化硫,大直站,2533916A0007,31,707,1.79,0,0,0,0,20.8,28,17,4.95,22
105年10月,二氧化硫,信義站,2534516A0004,31,709,1.41,0,0,0,0,12.6,25,17,3.15,25
105年10月,二氧化硫,南港站,2534116A0005,31,655,2.66,0,0,0,0,30.7,26,16,7.14,28
105年10月,二氧化硫,內湖站,2534216A0011,31,704,2.47,0,0,0,0,14.7,2,18,5.02,25
105年10月,二氧化硫,木柵站,2534016A0012,30,644,1.91,0,0,0,0,17.6,25,17,5.91,12
105年10月,二氧化硫,承德站,2534316T0025,31,708,2.86,0,0,0,0,24,22,20,6.19,5
105年10月,二氧化硫,中北站,2533916T0022,31,666,1.38,0,0,0,0,12.2,28,17,3.34,28
104年1月,二氧化氮,中正站,2533616A0015,31,710,20.94,0,0,69.4,5,17,41.07,5,74.13,
104年1月,二氧化氮,大直站,2533916A0007,30,699,20.1,0,0,94.2,5,10,46.65,5,76.77,
104年1月,二氧化氮,信義站,2534516A0004,16,441,16.99,0,0,62.7,24,18,37.66,5,62.29,
104年1月,二氧化氮,南港站,2534116A0005,28,658,17.45,0,0,72.13,5,10,33.67,5,66.18,
104年1月,二氧化氮,內湖站,2534216A0011,31,703,20.85,0,0,62.09,5,10,35.22,5,61.97,
104年1月,二氧化氮,木柵站,2534016A0012,27,667,16.01,0,0,67.75,5,14,26.11,25,72.66,
104年1月,二氧化氮,承德站,2534316T0025,29,688,29.2,0,0,119.86,5,10,48.99,5,39.26,
104年1月,二氧化氮,中北站,2533916T0022,31,706,35.21,0,0,90.5,5,11,54.17,24,39.3,
104年2月,二氧化氮,中正站,2533616A0015,28,637,21.28,0,0,61.7,25,18,34.49,25,75.78,
104年2月,二氧化氮,大直站,2533916A0007,28,617,17.55,0,0,55,16,9,28.72,25,81.98,
104年2月,二氧化氮,信義站,2534516A0004,28,638,15.87,0,0,53.9,12,20,31.59,12,80.07,
104年2月,二氧化氮,南港站,2534116A0005,28,634,19.29,0,0,61.86,13,21,32.71,11,72.07,
104年2月,二氧化氮,內湖站,2534216A0011,28,627,20.44,0,0,52.32,16,9,33.64,11,62.66,
104年2月,二氧化氮,木柵站,2534016A0012,27,630,15.25,0,0,46.61,26,10,25.66,25,73.01,
104年2月,二氧化氮,承德站,2534316T0025,28,636,30.44,0,0,75.1,25,15,44.17,13,43.76,
104年2月,二氧化氮,中北站,2533916T0022,28,636,36.78,0,0,84,12,20,62.68,13,41.25,
104年3月,二氧化氮,中正站,2533616A0015,31,704,24.36,0,0,64.2,17,10,39.75,17,73.96,
104年3月,二氧化氮,大直站,2533916A0007,29,676,17.86,0,0,65.34,13,9,29.4,13,76.4,
104年3月,二氧化氮,信義站,2534516A0004,31,694,16.5,0,0,52.7,13,9,28.2,14,78.26,
104年3月,二氧化氮,南港站,2534116A0005,31,702,19.14,0,0,57.69,17,9,31.68,17,77.34,
104年3月,二氧化氮,內湖站,2534216A0011,31,699,20.7,0,0,62,13,10,31.89,13,64.19,
104年3月,二氧化氮,木柵站,2534016A0012,31,693,18.17,0,0,53.47,16,16,28.8,16,77.12,
104年3月,二氧化氮,承德站,2534316T0025,30,681,33.28,0,0,87.25,19,9,44.17,30,44.13,
104年3月,二氧化氮,中北站,2533916T0022,30,664,39.77,0,0,83.9,30,17,50.81,30,43.04,
104年4月,二氧化氮,中正站,2533616A0015,29,673,21.45,0,0,70.5,17,19,35.69,17,78.11,
104年4月,二氧化氮,大直站,2533916A0007,29,671,16.09,0,0,57.7,15,22,26.07,12,82.57,
104年4月,二氧化氮,信義站,2534516A0004,25,635,15.31,0,0,53.6,15,9,27.51,15,79.93,
104年4月,二氧化氮,南港站,2534116A0005,30,679,20.06,0,0,62.86,16,8,36.78,15,80.4,
104年4月,二氧化氮,內湖站,2534216A0011,29,671,17.38,0,0,50.85,13,21,26.41,12,65.89,
104年4月,二氧化氮,木柵站,2534016A0012,29,655,16.72,0,0,52.09,1,17,27.96,17,80.43,
104年4月,二氧化氮,承德站,2534316T0025,30,659,28.47,0,0,69.41,18,9,44.88,16,47.79,
104年4月,二氧化氮,中北站,2533916T0022,30,659,36.74,0,0,88.1,15,9,53.63,15,46.74,
104年5月,二氧化氮,中正站,2533616A0015,29,676,21.77,0,0,65.9,6,18,43.35,6,77.4,
104年5月,二氧化氮,大直站,2533916A0007,31,696,16.8,0,0,57.7,8,19,30.76,6,72.24,
104年5月,二氧化氮,信義站,2534516A0004,29,668,15.89,0,0,43.5,6,18,27.77,6,76.51,
104年5月,二氧化氮,南港站,2534116A0005,29,666,21.38,0,0,61.9,8,15,38.46,6,80.23,
104年5月,二氧化氮,內湖站,2534216A0011,31,706,22.63,0,0,62.2,8,16,36.61,6,64.65,
104年5月,二氧化氮,木柵站,2534016A0012,29,678,14.49,0,0,47.89,13,18,22.05,6,70.39,
104年5月,二氧化氮,承德站,2534316T0025,30,663,31.65,0,0,94.7,13,9,56.45,13,50.1,
104年5月,二氧化氮,中北站,2533916T0022,30,694,33.69,0,0,79,8,15,48.19,6,42.74,
104年6月,二氧化氮,中正站,2533616A0015,30,686,16.98,0,0,47.1,1,18,23.67,4,80.78,
104年6月,二氧化氮,大直站,2533916A0007,27,609,14.64,0,0,46.65,24,17,21.54,24,76.39,
104年6月,二氧化氮,信義站,2534516A0004,25,560,13.27,0,0,35.6,18,20,16.83,18,86.54,
104年6月,二氧化氮,南港站,2534116A0005,27,652,17.04,0,0,45.96,18,20,22.09,24,79.23,
104年6月,二氧化氮,內湖站,2534216A0011,30,684,19.7,0,0,50.66,16,16,26.44,24,66.55,
104年6月,二氧化氮,木柵站,2534016A0012,30,673,13.27,0,0,46.6,11,18,17.48,4,73.33,
104年6月,二氧化氮,承德站,2534316T0025,30,677,24.91,0,0,56.3,2,9,32.55,2,54.41,
104年6月,二氧化氮,中北站,2533916T0022,30,688,29.79,0,0,63.2,24,15,39.13,24,43.73,
104年7月,二氧化氮,中正站,2533616A0015,31,708,14.98,0,0,44.5,24,18,22.35,24,77.01,
104年7月,二氧化氮,大直站,2533916A0007,31,677,12.63,0,0,47.8,30,18,22.6,30,75.26,
104年7月,二氧化氮,信義站,2534516A0004,31,686,11.47,0,0,37.1,24,19,18.02,24,82.64,
104年7月,二氧化氮,南港站,2534116A0005,29,684,14.8,0,0,43.6,25,14,21.1,3,76.69,
104年7月,二氧化氮,內湖站,2534216A0011,30,698,17.32,0,0,46.2,25,15,25.77,30,65.56,
104年7月,二氧化氮,木柵站,2534016A0012,30,700,10.4,0,0,44.4,31,16,20.54,31,70.87,
104年7月,二氧化氮,承德站,2534316T0025,29,678,25,0,0,66.9,30,18,37.26,30,53.79,
104年7月,二氧化氮,中北站,2533916T0022,31,707,29.16,0,0,76.6,16,11,39.79,16,40.7,
104年8月,二氧化氮,中正站,2533616A0015,30,695,15.65,0,0,46.9,11,18,28.52,28,73.53,
104年8月,二氧化氮,大直站,2533916A0007,26,628,11.86,0,0,40.4,28,19,23.54,28,76.36,
104年8月,二氧化氮,信義站,2534516A0004,27,592,10.17,0,0,32.7,11,19,17.86,10,74.67,
104年8月,二氧化氮,南港站,2534116A0005,27,648,14.88,0,0,41.1,28,11,25.48,28,72.59,
104年8月,二氧化氮,內湖站,2534216A0011,28,660,16.02,0,0,76.2,29,13,25.17,11,59.07,
104年8月,二氧化氮,木柵站,2534016A0012,30,687,11.49,0,0,33.5,3,16,16.97,28,70.32,
104年8月,二氧化氮,承德站,2534316T0025,28,658,24.26,0,0,61.3,5,16,37.06,25,47.4,
104年8月,二氧化氮,中北站,2533916T0022,28,667,26.12,0,0,69.7,5,17,40.23,11,35.64,
104年9月,二氧化氮,中正站,2533616A0015,24,574,16.68,0,0,54.7,30,19,25.97,30,80.64,
104年9月,二氧化氮,大直站,2533916A0007,29,654,11.45,0,0,38.5,27,17,21.64,27,79.5,
104年9月,二氧化氮,信義站,2534516A0004,19,461,8.5,0,0,22.3,4,9,14.74,23,69.28,
104年9月,二氧化氮,南港站,2534116A0005,22,557,15.18,0,0,42.9,23,19,25.41,22,77.77,
104年9月,二氧化氮,內湖站,2534216A0011,26,630,24.94,0,0,62.7,15,10,36.92,3,74.59,
104年9月,二氧化氮,木柵站,2534016A0012,28,663,12.86,0,0,40.8,22,16,21.57,22,75.39,
104年9月,二氧化氮,承德站,2534316T0025,28,639,27.81,0,0,67.7,22,18,45.63,27,52.49,
104年9月,二氧化氮,中北站,2533916T0022,30,677,32.1,0,0,72.7,22,10,43.48,22,43.65,
104年10月,二氧化氮,中正站,2533616A0015,31,698,15.08,0,0,41.3,27,9,25.44,1,84.01,
104年10月,二氧化氮,大直站,2533916A0007,28,639,10.99,0,0,35.8,29,21,21.73,29,81.56,
104年10月,二氧化氮,信義站,2534516A0004,13,474,7.5,0,0,45.1,26,21,11.62,30,71.42,
104年10月,二氧化氮,南港站,2534116A0005,29,682,13.14,0,0,42.9,29,18,23.27,29,81.45,
104年10月,二氧化氮,內湖站,2534216A0011,30,686,18.64,0,0,44.6,12,18,27.85,29,78.01,
104年10月,二氧化氮,木柵站,2534016A0012,30,688,11.87,0,0,40.4,1,16,20.96,1,72.96,
104年10月,二氧化氮,承德站,2534316T0025,28,676,27.05,0,0,62.8,23,8,39.9,29,43.87,
104年10月,二氧化氮,中北站,2533916T0022,31,702,30.73,0,0,85.6,12,18,50.01,12,42.86,
104年11月,二氧化氮,中正站,2533616A0015,29,656,17.24,0,0,59.8,16,19,31.23,7,79.69,
104年11月,二氧化氮,大直站,2533916A0007,28,635,12.39,0,0,49.4,17,19,27.65,17,80.53,
104年11月,二氧化氮,信義站,2534516A0004,27,639,9.52,0,0,38.2,13,17,21.1,7,82.88,
104年11月,二氧化氮,南港站,2534116A0005,26,623,15.38,0,0,54.8,17,18,25.89,17,78.15,
104年11月,二氧化氮,內湖站,2534216A0011,26,642,18.55,0,0,81.2,17,18,28.37,18,73.15,
104年11月,二氧化氮,木柵站,2534016A0012,29,665,13.32,0,0,51.7,7,16,23.09,7,71.22,
104年11月,二氧化氮,承德站,2534316T0025,26,624,22.82,0,0,55.5,17,11,36.49,7,37.47,
104年11月,二氧化氮,中北站,2533916T0022,30,680,30.85,0,0,71.9,17,11,44.24,17,39.34,
104年12月,二氧化氮,中正站,2533616A0015,22,580,12.71,0,0,43.6,25,19,23.29,27,66.31,
104年12月,二氧化氮,大直站,2533916A0007,31,694,14.38,0,0,63.5,24,11,28.97,21,79.78,
104年12月,二氧化氮,信義站,2534516A0004,31,692,11.03,0,0,41.3,20,22,20.95,10,79.66,
104年12月,二氧化氮,南港站,2534116A0005,25,613,17.53,0,0,44.9,24,10,25.8,21,77.78,
104年12月,二氧化氮,內湖站,2534216A0011,30,676,21.94,0,0,57.7,22,19,30.4,24,72.27,
104年12月,二氧化氮,木柵站,2534016A0012,31,705,14.16,0,0,45.8,2,10,23.77,23,69.8,
104年12月,二氧化氮,承德站,2534316T0025,29,664,28.71,0,0,76.8,24,11,40.49,21,39.07,
104年12月,二氧化氮,中北站,2533916T0022,31,714,33.86,0,0,66.3,23,10,40.16,23,37.09,
105年1月,二氧化氮,中正站,2533616A0015,30,616,20.69,0,0,97.6,28,12,37.17,15,58.46,
105年1月,二氧化氮,大直站,2533916A0007,31,653,16.67,0,0,75.3,28,12,33.38,28,66.67,
105年1月,二氧化氮,信義站,2534516A0004,31,661,12.85,0,0,57,28,13,25.34,4,69.77,
105年1月,二氧化氮,南港站,2534116A0005,28,623,18.57,0,0,52.5,4,12,29.55,4,73.3,
105年1月,二氧化氮,內湖站,2534216A0011,31,639,22.32,0,0,61.1,28,13,34.74,4,62.01,
105年1月,二氧化氮,木柵站,2534016A0012,31,664,16.57,0,0,89.3,28,14,30.5,28,64.11,
105年1月,二氧化氮,承德站,2534316T0025,30,623,30.7,0,0,72.6,28,11,41.36,15,37.48,
105年1月,二氧化氮,中北站,2533916T0022,31,663,35.29,0,0,87.3,28,11,45.77,15,33.32,
105年2月,二氧化氮,中正站,2533616A0015,10,225,17.72,0,0,49.2,27,19,34.97,27,49.55,
105年2月,二氧化氮,大直站,2533916A0007,29,667,14.72,0,0,47.8,26,18,34.3,27,77.52,
105年2月,二氧化氮,信義站,2534516A0004,29,659,10.12,0,0,34.7,22,9,18.91,22,79.19,
105年2月,二氧化氮,南港站,2534116A0005,27,633,17.69,0,0,49.6,22,8,28.27,18,78.59,
105年2月,二氧化氮,內湖站,2534216A0011,28,647,19.74,0,0,47.5,27,13,32.92,27,68.7,
105年2月,二氧化氮,木柵站,2534016A0012,24,566,15.07,0,0,48.3,4,13,25.51,22,71.64,
105年2月,二氧化氮,承德站,2534316T0025,29,661,31.33,0,0,59.1,22,7,42.91,27,46.19,
105年2月,二氧化氮,中北站,2533916T0022,29,669,34.6,0,0,60.5,22,9,41.18,27,38.56,
105年3月,二氧化氮,中正站,2533616A0015,30,682,22.45,0,0,100.3,30,11,45.2,18,68.79,
105年3月,二氧化氮,大直站,2533916A0007,28,668,20.68,0,0,78.4,18,14,45.53,18,69.08,
105年3月,二氧化氮,信義站,2534516A0004,18,430,8.7,0,0,194.9,21,16,22.17,22,73.47,
105年3月,二氧化氮,南港站,2534116A0005,30,679,22.98,0,0,75.8,18,17,42.77,18,67.15,
105年3月,二氧化氮,內湖站,2534216A0011,29,679,24.94,0,0,69.3,18,15,44.26,18,55.48,
105年3月,二氧化氮,木柵站,2534016A0012,29,675,19.47,0,0,67.7,30,13,33.21,18,69.2,
105年3月,二氧化氮,承德站,2534316T0025,27,653,37.44,0,0,89.3,17,17,61.74,18,43.08,
105年3月,二氧化氮,中北站,2533916T0022,31,717,38.83,0,0,90.1,30,11,52.42,30,37.56,
105年4月,二氧化氮,中正站,2533616A0015,30,652,25.23,0,0,70.9,20,21,36.2,20,79.19,
105年4月,二氧化氮,大直站,2533916A0007,30,669,18.1,0,0,50.9,1,21,26.3,16,79.48,
105年4月,二氧化氮,信義站,2534516A0004,28,534,9.41,0,0,36.5,20,20,18.3,20,86.73,
105年4月,二氧化氮,南港站,2534116A0005,27,591,22.52,0,0,56.4,30,8,30.8,6,78.6,
105年4月,二氧化氮,內湖站,2534216A0011,30,678,23.83,0,0,58.3,20,20,34.2,20,69.88,
105年4月,二氧化氮,木柵站,2534016A0012,30,686,18.41,0,0,53.8,26,16,25.7,9,74.8,
105年4月,二氧化氮,承德站,2534316T0025,30,687,31.06,0,0,64.4,20,9,42.9,2,51.07,
105年4月,二氧化氮,中北站,2533916T0022,30,627,36.62,0,0,81.2,30,9,54,30,44.08,
105年5月,二氧化氮,中正站,2533616A0015,30,703,18.7,0,0,56.5,21,20,28.5,1,82.02,
105年5月,二氧化氮,大直站,2533916A0007,26,634,13.3,0,0,46.3,18,12,21.3,5,80.12,
105年5月,二氧化氮,信義站,2534516A0004,28,646,9.2,0,0,27.9,21,18,13.8,21,79.31,
105年5月,二氧化氮,南港站,2534116A0005,22,599,18,0,0,47.2,18,11,25.9,26,82.95,
105年5月,二氧化氮,內湖站,2534216A0011,29,684,21.3,0,0,57.5,18,11,31.5,5,72.95,
105年5月,二氧化氮,木柵站,2534016A0012,31,707,14.3,0,0,41.7,31,18,20.3,2,74.09,
105年5月,二氧化氮,承德站,2534316T0025,29,677,28.6,0,0,74.9,26,18,40.7,26,50.44,
105年5月,二氧化氮,中北站,2533916T0022,30,689,31.5,0,0,70.7,26,17,40.8,21,40.91,
105年6月,二氧化氮,中正站,2533616A0015,30,668,17.7,0,0,47.7,10,18,24,6,76.55,
105年6月,二氧化氮,大直站,2533916A0007,30,668,14.4,0,0,41.3,21,20,20.07,21,75.08,
105年6月,二氧化氮,信義站,2534516A0004,30,651,12.1,0,0,32.6,21,16,18.29,17,77.02,
105年6月,二氧化氮,南港站,2534116A0005,30,623,18.3,0,0,50.2,21,15,23.54,21,79.38,
105年6月,二氧化氮,內湖站,2534216A0011,30,673,22.5,0,0,53,21,16,29.8,28,66.16,
105年6月,二氧化氮,木柵站,2534016A0012,30,687,13.7,0,0,45.3,22,17,19.42,22,72.48,
105年6月,二氧化氮,承德站,2534316T0025,30,685,28.8,0,0,65.6,28,16,35,28,49.06,
105年6月,二氧化氮,中北站,2533916T0022,29,635,30.1,0,0,69.6,28,15,38.28,28,37.58,
105年7月,二氧化氮,中正站,2533616A0015,31,661,15.7,0,0,47.7,3,21,25.59,20,82.46,
105年7月,二氧化氮,大直站,2533916A0007,31,710,11.9,0,0,44.4,12,20,17.43,12,77.35,
105年7月,二氧化氮,信義站,2534516A0004,30,649,9.5,0,0,27.7,22,18,12.97,11,73.33,
105年7月,二氧化氮,南港站,2534116A0005,31,646,16.2,0,0,48.1,22,18,22.08,19,84.54,
105年7月,二氧化氮,內湖站,2534216A0011,31,706,20.1,0,0,66.8,26,18,27.4,13,71.15,
105年7月,二氧化氮,木柵站,2534016A0012,31,708,11.4,0,0,37.6,28,19,16.77,28,73.14,
105年7月,二氧化氮,承德站,2534316T0025,31,695,25.2,0,0,58.8,19,17,34.46,29,50.42,
105年7月,二氧化氮,中北站,2533916T0022,31,670,27.2,0,0,60.5,28,10,37.23,13,40.35,
105年8月,二氧化氮,中正站,2533616A0015,31,704,14.67,0,0,38.3,31,21,22.21,31,81.94,
105年8月,二氧化氮,大直站,2533916A0007,31,701,12.09,0,0,35.5,2,19,19.49,3,82.37,
105年8月,二氧化氮,信義站,2534516A0004,31,617,8.84,0,0,25.7,18,20,14.76,18,83,
105年8月,二氧化氮,南港站,2534116A0005,31,658,15.83,0,0,59.4,31,20,26.96,31,84.55,
105年8月,二氧化氮,內湖站,2534216A0011,31,683,19.44,0,0,60,31,21,34.78,31,76.16,
105年8月,二氧化氮,木柵站,2534016A0012,31,690,11.7,0,0,50.5,31,18,20.23,31,71.49,
105年8月,二氧化氮,承德站,2534316T0025,31,697,25.69,0,0,82.5,25,20,51.38,26,46.93,
105年8月,二氧化氮,中北站,2533916T0022,31,668,27.46,0,0,72.8,31,21,44.62,31,41.37,
105年9月,二氧化氮,中正站,2533616A0015,30,642,15.16,0,0,47.1,1,18,26.07,2,79.58,
